score,score_fuzzed
-3.5,-3.5000064369623805
-3.5,-3.5000028324506807
-3.5,-3.4999902237493186
-3,-3.000006835163604
-3.75,-3.7500052597304596
-3.5,-3.500003286849994
-0.25,-0.25000589477680923
-3.5,-3.4999884940717942
-3.5,-3.499987386148013
-3.75,-3.749999994501818
-3.75,-3.749986641300367
-3.5,-3.4999989792762283
-3.5,-3.5000154309704703
-3.5,-3.499988516188599
-3.25,-3.2499964718636916
-3.5,-3.499995802508765
-3.25,-3.2499975596356285
-3.5,-3.4999955225398303
-3.75,-3.7500044865570685
-3.5,-3.50000843636861
-3.75,-3.7500056948459384
-3,-3.000003476748704
-3.5,-3.499987814451284
-1,-0.9999986942768465
-3,-3.000002258683792
-3.75,-3.7500047601866227
-3.5,-3.500002078360092
-3.25,-3.2500010727331183
-3.5,-3.4999851858465534
-3.5,-3.4999968707838773
-3.5,-3.500001495753565
-3.25,-3.249986773144736
-3.5,-3.50000836279492
-3.5,-3.5000106043970938
-3.5,-3.500023272346114
-3.5,-3.499996629035956
-3,-3.000005347939884
-3.25,-3.2499917825229563
-3,-2.9999976145320746
-3.75,-3.7500060939644153
-3.25,-3.2499880811033135
-0.5,-0.4999936886909333
-3.25,-3.249993974639074
-3.5,-3.4999988572196172
-3.5,-3.499993543734562
-3.25,-3.249996644270983
-3.5,-3.4999996391543484
-3.5,-3.5000015014222527
-1,-0.9999923632051729
-3.75,-3.750021888386139
-3.5,-3.4999847754909226
-3.5,-3.4999976947022917
-3.5,-3.500010543561312
-3.75,-3.7500109809201163
0,3.1533003419171442e-6
-3.5,-3.5000175062717744
-3,-3.000018153346203
-3.5,-3.5000082521852045
-3.5,-3.49998613536292
-3.75,-3.7499916684728816
-3.5,-3.499986850002672
-3.25,-3.25000546722671
-3.5,-3.500003025747793
-2.75,-2.7500200603808906
-3.25,-3.249986305148616
-3.5,-3.5000042765769854
-3.5,-3.5000011625855065
-3.5,-3.499996558583842
-3.5,-3.4999919071357537
-3.25,-3.2499927507604967
-3,-3.0000043342825222
-3.5,-3.499989239920357
-3.5,-3.500010701790179
-1,-0.9999827727240436
-1,-0.9999925240458902
-3.5,-3.500003975806441
-3.5,-3.4999852953525066
-3.5,-3.499987027164832
-0.75,-0.7500045553565635
-3.5,-3.4999939165377234
-3.5,-3.49999591293066
-3.25,-3.2499920282762615
-3,-3.0000079790751895
-3.5,-3.50000910888483
-3.5,-3.5000123877706195
-3.75,-3.7500092847537796
-3.75,-3.7499965563382527
-3.25,-3.250015366101554
-3.75,-3.7500228546790413
-3.25,-3.2500014094471514
-3.5,-3.499982101059954
-3.5,-3.499996457715232
-3.25,-3.2500076409904386
-3.75,-3.7499954028331897
-3,-2.999983505859032
-2.75,-2.7500099627560446
-3.25,-3.2499936146248967
-3.25,-3.2499817761994145
-3.5,-3.500003377880948
-3.75,-3.7500150282600115
-3.25,-3.249997137183
0.25,0.2500048520179935
-3.25,-3.2500049069925514
1.25,1.2500071681719191
-3.5,-3.4999909426396894
1.25,1.2500079542257623
-3,-3.0000118183383946
-3.5,-3.499998084500133
-3.25,-3.2500100364297198
-3.25,-3.250011958513862
-3.75,-3.749985909043684
-3.5,-3.4999893001796485
-3.25,-3.2500027976733232
-3.25,-3.2499988337707704
