seed,Y,c_m,c_n,c_a,strategy,insample_safety,iid_test_safety,oos_safety,audit_fpr,audit_budget_share,use_two_monitor_prob,strategy_params
-1,1.1,1,0.21,10,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
-1,1.1,1,0.21,10,Neyman-Pearson,0.2389937106918239,0.2389937106918239,0.08771929824561403,0.010000000000000009,0.09090909090909098,0.0,"{""audit_thresh"": 3.242119807668926, ""audit_fpr"": 0.010000000000000009, ""audit_budget_share"": 0.09090909090909098, ""in_sample_safety"": 0.2389937106918239, ""bandwidth_malign"": 0.3345818077450813, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
-1,1.2,1,0.21,20,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
-1,1.8,1,0.21,80,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.4288499025341131,0.0,"{""a_m"": 7.800106661451009}"
-1,4.2,1,0.21,320,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.735171261487051,0.0,"{""a_m"": 7.800106661451009}"
-1,7.4,1,0.21,640,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.8345187292555714,0.0,"{""a_m"": 7.800106661451009}"
-1,2.6,1,0.21,160,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.5937921727395412,0.0,"{""a_m"": 7.800106661451009}"
-1,13.8,1,0.21,1280,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.8949911009407577,0.0,"{""a_m"": 7.800106661451009}"
-1,1.4,1,0.21,40,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.27568922305764415,0.0,"{""a_m"": 7.800106661451009}"
-1,26.6,1,0.21,2560,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.9286373829310117,0.0,"{""a_m"": 7.800106661451009}"
1,1.4,1,0.21,40,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.27568922305764415,0.0,"{""a_m"": 7.800106661451009}"
1,1.2,1,0.21,20,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
1,1.1,1,0.21,10,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
1,2.6,1,0.21,160,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.5937921727395412,0.0,"{""a_m"": 7.800106661451009}"
1,1.8,1,0.21,80,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.4288499025341131,0.0,"{""a_m"": 7.800106661451009}"
1,4.2,1,0.21,320,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.735171261487051,0.0,"{""a_m"": 7.800106661451009}"
1,26.6,1,0.21,2560,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.9286373829310117,0.0,"{""a_m"": 7.800106661451009}"
1,7.4,1,0.21,640,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.8345187292555714,0.0,"{""a_m"": 7.800106661451009}"
1,13.8,1,0.21,1280,Naive single monitor,0.11009174311926606,0.11,0.24561403508771928,0.009649122807017544,0.8949911009407577,0.0,"{""a_m"": 7.800106661451009}"
2,1.2,1,0.21,20,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
2,1.8,1,0.21,80,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.4288499025341131,0.0,"{""a_m"": 7.800106661451009}"
2,1.4,1,0.21,40,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.27568922305764415,0.0,"{""a_m"": 7.800106661451009}"
2,1.1,1,0.21,10,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
2,2.6,1,0.21,160,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.5937921727395412,0.0,"{""a_m"": 7.800106661451009}"
2,4.2,1,0.21,320,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.735171261487051,0.0,"{""a_m"": 7.800106661451009}"
2,13.8,1,0.21,1280,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.8949911009407577,0.0,"{""a_m"": 7.800106661451009}"
2,7.4,1,0.21,640,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.8345187292555714,0.0,"{""a_m"": 7.800106661451009}"
2,26.6,1,0.21,2560,Naive single monitor,0.11467889908256881,0.1,0.24561403508771928,0.009649122807017544,0.9286373829310117,0.0,"{""a_m"": 7.800106661451009}"
3,1.2,1,0.21,20,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
3,1.1,1,0.21,10,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
3,1.8,1,0.21,80,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.4288499025341131,0.0,"{""a_m"": 7.800106661451009}"
3,1.4,1,0.21,40,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.27568922305764415,0.0,"{""a_m"": 7.800106661451009}"
3,2.6,1,0.21,160,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.5937921727395412,0.0,"{""a_m"": 7.800106661451009}"
3,4.2,1,0.21,320,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.735171261487051,0.0,"{""a_m"": 7.800106661451009}"
3,7.4,1,0.21,640,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.8345187292555714,0.0,"{""a_m"": 7.800106661451009}"
3,13.8,1,0.21,1280,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.8949911009407577,0.0,"{""a_m"": 7.800106661451009}"
4,1.1,1,0.21,10,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
3,26.6,1,0.21,2560,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.9286373829310117,0.0,"{""a_m"": 7.800106661451009}"
4,1.2,1,0.21,20,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
4,1.4,1,0.21,40,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.27568922305764415,0.0,"{""a_m"": 7.800106661451009}"
4,1.8,1,0.21,80,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.4288499025341131,0.0,"{""a_m"": 7.800106661451009}"
4,2.6,1,0.21,160,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.5937921727395412,0.0,"{""a_m"": 7.800106661451009}"
4,4.2,1,0.21,320,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.735171261487051,0.0,"{""a_m"": 7.800106661451009}"
4,13.8,1,0.21,1280,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.8949911009407577,0.0,"{""a_m"": 7.800106661451009}"
4,7.4,1,0.21,640,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.8345187292555714,0.0,"{""a_m"": 7.800106661451009}"
4,26.6,1,0.21,2560,Naive single monitor,0.0963302752293578,0.14,0.24561403508771928,0.009649122807017544,0.9286373829310117,0.0,"{""a_m"": 7.800106661451009}"
5,1.1,1,0.21,10,Naive single monitor,0.10550458715596331,0.12,0.24561403508771928,0.009649122807017544,0.08771929824561403,0.0,"{""a_m"": 7.800106661451009}"
-1,1.8,1,0.21,80,Neyman-Pearson,0.2389937106918239,0.2389937106918239,0.08771929824561403,0.01,0.4444444444444445,0.0,"{""audit_thresh"": 3.242119807668926, ""audit_fpr"": 0.01, ""audit_budget_share"": 0.4444444444444445, ""in_sample_safety"": 0.2389937106918239, ""bandwidth_malign"": 0.3345818077450813, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
