seed,Y,c_m,c_n,c_a,strategy,insample_safety,iid_test_safety,oos_safety,audit_fpr,audit_budget_share,use_two_monitor_prob,strategy_params
-1,1.1,1,0.21,20,Naive single monitor,0.031446540880503145,0.031446540880503145,0.05263157894736842,0.0043859649122807015,0.07974481658692184,0.0,"{""a_m"": 8.199932722137472}"
-1,1.2,1,0.21,20,Naive single monitor,0.11006289308176101,0.11006289308176101,0.24561403508771928,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
-1,1.3,1,0.21,20,Naive single monitor,0.2389937106918239,0.2389937106918239,0.3333333333333333,0.014912280701754385,0.2294197031039136,0.0,"{""a_m"": 7.599907825928483}"
-1,1.4,1,0.21,20,Naive single monitor,0.4119496855345912,0.4119496855345912,0.40350877192982454,0.01929824561403509,0.27568922305764415,0.0,"{""a_m"": 7.199929593499573}"
-1,1.1,1,0.21,20,Optimized with Neyman-Pearson,0.17295597484276728,0.17295597484276728,0.08771929824561403,0.0050000000000000044,0.09090909090909098,0.0,"{""audit_thresh"": 3.318929931922381, ""audit_fpr"": 0.0050000000000000044, ""audit_budget_share"": 0.09090909090909098, ""in_sample_safety"": 0.17295597484276728, ""bandwidth_malign"": 0.3345818077450813, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
-1,1.2,1,0.21,20,Optimized with Neyman-Pearson,0.2389937106918239,0.2389937106918239,0.08771929824561403,0.009999999999999998,0.16666666666666663,0.0,"{""audit_thresh"": 3.242119807668926, ""audit_fpr"": 0.009999999999999998, ""audit_budget_share"": 0.16666666666666663, ""in_sample_safety"": 0.2389937106918239, ""bandwidth_malign"": 0.3345818077450813, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
-1,1.1,1,0.21,20,Optimized with Neyman-Pearson bw = 0.33,0.16037735849056603,0.16037735849056603,0.05263157894736842,0.0050000000000000044,0.09090909090909098,0.0,"{""audit_thresh"": 3.31746288884933, ""audit_fpr"": 0.0050000000000000044, ""audit_budget_share"": 0.09090909090909098, ""in_sample_safety"": 0.16037735849056603, ""bandwidth_malign"": 0.33, ""bandwidth_benign"": 0.33, ""Note"": ""kernel estimators not saved""}"
-1,1.3,1,0.21,20,Optimized with Neyman-Pearson,0.39308176100628933,0.39308176100628933,0.19298245614035087,0.015000000000000003,0.23076923076923078,0.0,"{""audit_thresh"": 3.1396981515948195, ""audit_fpr"": 0.015000000000000003, ""audit_budget_share"": 0.23076923076923078, ""in_sample_safety"": 0.39308176100628933, ""bandwidth_malign"": 0.3345818077450813, ""bandwidth_benign"": 0.25918315791695884, ""Note"": ""kernel estimators not saved""}"
-1,1.1,1,0.21,20,Optimized with Neyman-Pearson bw = 0.6,0.16037735849056603,0.16037735849056603,0.05263157894736842,0.0050000000000000044,0.09090909090909098,0.0,"{""audit_thresh"": 3.1539905375758037, ""audit_fpr"": 0.0050000000000000044, ""audit_budget_share"": 0.09090909090909098, ""in_sample_safety"": 0.16037735849056603, ""bandwidth_malign"": 0.6, ""bandwidth_benign"": 0.6, ""Note"": ""kernel estimators not saved""}"
-1,1.1,1,0.21,20,Optimized with Neyman-Pearson bw = 1,0.059748427672955975,0.059748427672955975,0.19298245614035087,0.0050000000000000044,0.09090909090909098,0.0,"{""audit_thresh"": 2.989792947722254, ""audit_fpr"": 0.0050000000000000044, ""audit_budget_share"": 0.09090909090909098, ""in_sample_safety"": 0.059748427672955975, ""bandwidth_malign"": 1, ""bandwidth_benign"": 1, ""Note"": ""kernel estimators not saved""}"
