seed,Y,c_m,c_n,c_a,strategy,insample_safety,iid_test_safety,oos_safety,audit_fpr,audit_budget_share,use_two_monitor_prob,strategy_params
-1,1.1,1,0.21,20,Naive single monitor,0.031446540880503145,0.031446540880503145,0.01,0.0043859649122807015,0.07974481658692184,0.0,"{""a_m"": 8.199932722137472}"
-1,1.2,1,0.21,20,Naive single monitor,0.11006289308176101,0.11006289308176101,0.043333333333333335,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
-1,1.3,1,0.21,20,Naive single monitor,0.2389937106918239,0.2389937106918239,0.10333333333333333,0.014912280701754385,0.2294197031039136,0.0,"{""a_m"": 7.599907825928483}"
-1,1.4,1,0.21,20,Naive single monitor,0.4119496855345912,0.4119496855345912,0.17666666666666667,0.01929824561403509,0.27568922305764415,0.0,"{""a_m"": 7.199929593499573}"
-1,1.5,1,0.21,20,Naive single monitor,0.49056603773584906,0.49056603773584906,0.21,0.02456140350877193,0.32748538011695905,0.0,"{""a_m"": 6.999925649036238}"
-1,1.6,1,0.21,20,Naive single monitor,0.6509433962264151,0.6509433962264151,0.31666666666666665,0.02982456140350877,0.3728070175438596,0.0,"{""a_m"": 6.400063490637535}"
-1,1.7,1,0.21,20,Naive single monitor,0.6823899371069182,0.6823899371069182,0.35,0.034210526315789476,0.40247678018575855,0.0,"{""a_m"": 6.200077084878585}"
-1,2.0,1,0.21,20,Naive single monitor,0.8270440251572327,0.8270440251572327,0.48,0.05,0.5,0.0,"{""a_m"": 5.400019530229942}"
-1,1.8,1,0.21,20,Naive single monitor,0.7610062893081762,0.7610062893081762,0.3933333333333333,0.039473684210526314,0.43859649122807015,0.0,"{""a_m"": 5.800224268043031}"
-1,1.9,1,0.21,20,Naive single monitor,0.7924528301886793,0.7924528301886793,0.45666666666666667,0.04473684210526316,0.4709141274238227,0.0,"{""a_m"": 5.599968560758193}"
1,1.1,1,0.21,20,Naive single monitor,0.04128440366972477,0.01,0.01,0.0043859649122807015,0.07974481658692184,0.0,"{""a_m"": 8.199932722137472}"
1,1.2,1,0.21,20,Naive single monitor,0.11009174311926606,0.11,0.043333333333333335,0.009649122807017544,0.16081871345029242,0.0,"{""a_m"": 7.800106661451009}"
1,1.5,1,0.21,20,Naive single monitor,0.4954128440366973,0.48,0.21,0.02456140350877193,0.32748538011695905,0.0,"{""a_m"": 6.999925649036238}"
1,1.3,1,0.21,20,Naive single monitor,0.23853211009174313,0.24,0.10333333333333333,0.014912280701754385,0.2294197031039136,0.0,"{""a_m"": 7.599907825928483}"
1,1.4,1,0.21,20,Naive single monitor,0.41743119266055045,0.4,0.17666666666666667,0.01929824561403509,0.27568922305764415,0.0,"{""a_m"": 7.199929593499573}"
1,1.8,1,0.21,20,Naive single monitor,0.7568807339449541,0.77,0.3933333333333333,0.039473684210526314,0.43859649122807015,0.0,"{""a_m"": 5.800224268043031}"
1,1.6,1,0.21,20,Naive single monitor,0.6513761467889908,0.65,0.31666666666666665,0.02982456140350877,0.3728070175438596,0.0,"{""a_m"": 6.400063490637535}"
2,1.1,1,0.21,20,Naive single monitor,0.03669724770642202,0.02,0.01,0.0043859649122807015,0.07974481658692184,0.0,"{""a_m"": 8.199932722137472}"
1,1.7,1,0.21,20,Naive single monitor,0.6834862385321101,0.68,0.35,0.034210526315789476,0.40247678018575855,0.0,"{""a_m"": 6.200077084878585}"
1,1.9,1,0.21,20,Naive single monitor,0.7935779816513762,0.79,0.45666666666666667,0.04473684210526316,0.4709141274238227,0.0,"{""a_m"": 5.599968560758193}"
2,1.3,1,0.21,20,Naive single monitor,0.25229357798165136,0.21,0.10333333333333333,0.014912280701754385,0.2294197031039136,0.0,"{""a_m"": 7.599907825928483}"
1,2.0,1,0.21,20,Naive single monitor,0.8302752293577982,0.82,0.48,0.05,0.5,0.0,"{""a_m"": 5.400019530229942}"
